tnr	leading_figure	observed_percent	theoretical_percent
160	1	0.52970297029703	0.301029995663981
160	2	0.00495049504950495	0.176091259055681
160	3	0.00495049504950495	0.1249387366083
160	4	0.0346534653465347	0.0969100130080564
160	5	0.0940594059405941	0.0791812460476248
160	6	0.128712871287129	0.0669467896306132
160	7	0.202970297029703	0.0579919469776867
167	1	0.171875	0.301029995663981
167	8	0.5	0.0511525224473813
167	2	0.23828125	0.176091259055681
167	3	0.04296875	0.1249387366083
167	9	0.01171875	0.0457574905606751
167	4	0.01171875	0.0969100130080564
167	5	0.01171875	0.0791812460476248
167	7	0.01171875	0.0579919469776867
248	1	0.0989690721649484	0.301029995663981
248	8	0.263917525773196	0.0511525224473813
248	2	0.25979381443299	0.176091259055681
248	3	0.156701030927835	0.1249387366083
248	9	0.0948453608247423	0.0457574905606751
248	4	0.0783505154639175	0.0969100130080564
248	5	0.0268041237113402	0.0791812460476248
248	6	0.0164948453608247	0.0669467896306132
248	7	0.00412371134020619	0.0579919469776867
402	1	0.716814159292035	0.301029995663981
402	8	0.119469026548673	0.0511525224473813
402	2	0.0884955752212389	0.176091259055681
402	3	0.0176991150442478	0.1249387366083
402	9	0.0132743362831858	0.0457574905606751
402	4	0.00884955752212389	0.0969100130080564
402	5	0.00442477876106195	0.0791812460476248
402	6	0.00884955752212389	0.0669467896306132
402	7	0.0221238938053097	0.0579919469776867
730	1	0.0591397849462366	0.301029995663981
730	8	0.0483870967741935	0.0511525224473813
730	2	0.0913978494623656	0.176091259055681
730	3	0.0913978494623656	0.1249387366083
730	9	0.188172043010753	0.0457574905606751
730	4	0.236559139784946	0.0969100130080564
730	5	0.17741935483871	0.0791812460476248
730	6	0.0483870967741935	0.0669467896306132
730	7	0.0591397849462366	0.0579919469776867
